Ano_Mes,Bairro,Regional,Tipo_Ocorrencia,Ocorrencias,Vitimas,Valor_Apreendido_RS,Tempo_Resposta_Medio_Min
2025-09,Grande Terceiro,Regional Leste,Latrocínio,3,3,3535,6.2
2025-09,Grande Terceiro,Regional Leste,Roubo,35,2,30214,19.7
2025-09,Grande Terceiro,Regional Leste,Furto,42,2,76535,22.3
2025-09,Grande Terceiro,Regional Leste,Tráfico de Drogas,15,1,31021,25.2
2025-09,Grande Terceiro,Regional Leste,Lesão Corporal,17,15,0,25.6
2025-10,Centro,Regional Metropolitana,Homicídio,5,4,0,10.7
2025-10,Centro,Regional Metropolitana,Latrocínio,2,2,2110,9.9
2025-10,Centro,Regional Metropolitana,Roubo,29,1,49935,24.2
2025-10,Centro,Regional Metropolitana,Furto,41,2,68986,22.6
2025-10,Centro,Regional Metropolitana,Tráfico de Drogas,14,1,14931,17.3
2025-10,Centro,Regional Metropolitana,Lesão Corporal,14,13,0,26.8
2025-10,Coxipó,Regional Leste,Homicídio,5,4,0,8.6
2025-10,Coxipó,Regional Leste,Latrocínio,3,3,1204,11.4
2025-10,Coxipó,Regional Leste,Roubo,28,1,56708,27.2
2025-10,Coxipó,Regional Leste,Furto,50,2,30993,23.6
2025-10,Coxipó,Regional Leste,Tráfico de Drogas,14,1,28323,10.0
2025-10,Coxipó,Regional Leste,Lesão Corporal,15,14,0,15.6
2025-10,CPA,Regional Norte,Homicídio,2,2,0,9.7
2025-10,CPA,Regional Norte,Latrocínio,1,1,1421,11.6
2025-10,CPA,Regional Norte,Roubo,11,1,23791,16.2
2025-10,CPA,Regional Norte,Furto,17,1,28747,19.9
2025-10,CPA,Regional Norte,Tráfico de Drogas,5,0,5398,22.9
2025-10,CPA,Regional Norte,Lesão Corporal,4,4,0,27.5
2025-10,Pedra 90,Regional Sul,Homicídio,8,7,0,8.7
2025-10,Pedra 90,Regional Sul,Latrocínio,3,3,1556,9.2
2025-10,Pedra 90,Regional Sul,Roubo,47,2,24631,12.7
2025-10,Pedra 90,Regional Sul,Furto,60,3,78855,20.2
2025-10,Pedra 90,Regional Sul,Tráfico de Drogas,25,1,19171,23.0
2025-10,Pedra 90,Regional Sul,Lesão Corporal,22,20,0,21.6
2025-10,Tijucal,Regional Sul,Homicídio,6,5,0,10.1
2025-10,Tijucal,Regional Sul,Latrocínio,2,2,4206,7.7
2025-10,Tijucal,Regional Sul,Roubo,35,2,25711,19.9
2025-10,Tijucal,Regional Sul,Furto,38,2,31245,15.8
2025-10,Tijucal,Regional Sul,Tráfico de Drogas,12,1,9199,26.8
2025-10,Tijucal,Regional Sul,Lesão Corporal,12,11,0,18.6
2025-10,Jardim Leblon,Regional Norte,Homicídio,7,6,0,10.1
2025-10,Jardim Leblon,Regional Norte,Latrocínio,2,2,2678,7.0
2025-10,Jardim Leblon,Regional Norte,Roubo,52,3,28173,24.6
2025-10,Jardim Leblon,Regional Norte,Furto,65,3,107276,20.3
2025-10,Jardim Leblon,Regional Norte,Tráfico de Drogas,18,1,26990,12.8
2025-10,Jardim Leblon,Regional Norte,Lesão Corporal,19,17,0,24.4
2025-10,Porto,Regional Metropolitana,Homicídio,7,6,0,9.4
2025-10,Porto,Regional Metropolitana,Latrocínio,4,4,2106,11.3
2025-10,Porto,Regional Metropolitana,Roubo,56,3,122354,21.8
2025-10,Porto,Regional Metropolitana,Furto,56,3,65399,19.3
2025-10,Porto,Regional Metropolitana,Tráfico de Drogas,23,1,15044,26.3
2025-10,Porto,Regional Metropolitana,Lesão Corporal,23,21,0,20.7
2025-10,Grande Terceiro,Regional Leste,Homicídio,6,5,0,7.3
2025-10,Grande Terceiro,Regional Leste,Latrocínio,2,2,1782,7.2
2025-10,Grande Terceiro,Regional Leste,Roubo,37,2,22169,20.5
2025-10,Grande Terceiro,Regional Leste,Furto,53,3,37966,15.6
2025-10,Grande Terceiro,Regional Leste,Tráfico de Drogas,20,1,28903,26.7
2025-10,Grande Terceiro,Regional Leste,Lesão Corporal,15,14,0,27.9
2025-11,Centro,Regional Metropolitana,Homicídio,4,4,0,11.4
2025-11,Centro,Regional Metropolitana,Latrocínio,2,2,4158,7.8
2025-11,Centro,Regional Metropolitana,Roubo,30,2,45052,18.9
2025-11,Centro,Regional Metropolitana,Furto,38,2,28963,25.7
2025-11,Centro,Regional Metropolitana,Tráfico de Drogas,16,1,7275,17.4
2025-11,Centro,Regional Metropolitana,Lesão Corporal,14,13,0,11.4
2025-11,Coxipó,Regional Leste,Homicídio,7,6,0,11.2
2025-11,Coxipó,Regional Leste,Latrocínio,2,2,3949,8.9
2025-11,Coxipó,Regional Leste,Roubo,36,2,19714,16.5
2025-11,Coxipó,Regional Leste,Furto,37,2,54825,17.1
2025-11,Coxipó,Regional Leste,Tráfico de Drogas,18,1,24154,15.1
2025-11,Coxipó,Regional Leste,Lesão Corporal,16,14,0,20.0
2025-11,CPA,Regional Norte,Homicídio,2,2,0,11.3
2025-11,CPA,Regional Norte,Latrocínio,1,1,1227,6.9
2025-11,CPA,Regional Norte,Roubo,12,1,23921,16.1
2025-11,CPA,Regional Norte,Furto,16,1,7999,25.5
2025-11,CPA,Regional Norte,Tráfico de Drogas,4,0,3507,22.9
2025-11,CPA,Regional Norte,Lesão Corporal,4,4,0,11.3
2025-11,Pedra 90,Regional Sul,Homicídio,9,8,0,7.5
2025-11,Pedra 90,Regional Sul,Latrocínio,3,3,5147,9.3
2025-11,Pedra 90,Regional Sul,Roubo,62,3,60886,19.5
2025-11,Pedra 90,Regional Sul,Furto,80,4,137418,16.3
2025-11,Pedra 90,Regional Sul,Tráfico de Drogas,24,1,30088,12.7
2025-11,Pedra 90,Regional Sul,Lesão Corporal,24,22,0,14.4
2025-11,Tijucal,Regional Sul,Homicídio,6,5,0,7.9
2025-11,Tijucal,Regional Sul,Latrocínio,2,2,3631,10.7
2025-11,Tijucal,Regional Sul,Roubo,37,2,70875,15.4
2025-11,Tijucal,Regional Sul,Furto,42,2,73861,21.4
2025-11,Tijucal,Regional Sul,Tráfico de Drogas,17,1,10107,11.5
2025-11,Tijucal,Regional Sul,Lesão Corporal,15,14,0,18.8
2025-11,Jardim Leblon,Regional Norte,Homicídio,10,9,0,6.5
2025-11,Jardim Leblon,Regional Norte,Latrocínio,3,3,1305,7.5
2025-11,Jardim Leblon,Regional Norte,Roubo,42,2,26155,26.1
2025-11,Jardim Leblon,Regional Norte,Furto,68,3,137885,14.8
2025-11,Jardim Leblon,Regional Norte,Tráfico de Drogas,25,1,44480,16.2
2025-11,Jardim Leblon,Regional Norte,Lesão Corporal,23,21,0,26.6
2025-11,Porto,Regional Metropolitana,Homicídio,10,9,0,10.2
2025-11,Porto,Regional Metropolitana,Latrocínio,4,4,4156,7.2
2025-11,Porto,Regional Metropolitana,Roubo,53,3,93236,16.6
2025-11,Porto,Regional Metropolitana,Furto,80,4,166649,10.7
2025-11,Porto,Regional Metropolitana,Tráfico de Drogas,23,1,36922,20.9
2025-11,Porto,Regional Metropolitana,Lesão Corporal,21,19,0,10.2
2025-11,Grande Terceiro,Regional Leste,Homicídio,8,7,0,8.5
2025-11,Grande Terceiro,Regional Leste,Latrocínio,3,3,3495,10.8
2025-11,Grande Terceiro,Regional Leste,Roubo,49,2,37785,27.7
2025-11,Grande Terceiro,Regional Leste,Furto,59,3,125616,16.3
2025-11,Grande Terceiro,Regional Leste,Tráfico de Drogas,20,1,10489,21.6
2025-11,Grande Terceiro,Regional Leste,Lesão Corporal,16,14,0,16.5
2025-12,Centro,Regional Metropolitana,Homicídio,6,5,0,10.5
2025-12,Centro,Regional Metropolitana,Latrocínio,2,2,2367,9.9
2025-12,Centro,Regional Metropolitana,Roubo,35,2,67858,22.1
2025-12,Centro,Regional Metropolitana,Furto,35,2,21500,11.2
2025-12,Centro,Regional Metropolitana,Tráfico de Drogas,16,1,11375,10.5
2025-12,Centro,Regional Metropolitana,Lesão Corporal,14,13,0,10.4
2025-12,Coxipó,Regional Leste,Homicídio,6,5,0,6.6
2025-12,Coxipó,Regional Leste,Latrocínio,2,2,1750,9.3
2025-12,Coxipó,Regional Leste,Roubo,40,2,20119,14.8
2025-12,Coxipó,Regional Leste,Furto,48,2,54566,19.1
2025-12,Coxipó,Regional Leste,Tráfico de Drogas,16,1,21077,15.1
2025-12,Coxipó,Regional Leste,Lesão Corporal,15,14,0,25.2
2025-12,CPA,Regional Norte,Homicídio,2,2,0,11.7
2025-12,CPA,Regional Norte,Latrocínio,1,1,1984,9.5
2025-12,CPA,Regional Norte,Roubo,12,1,10689,18.4
2025-12,CPA,Regional Norte,Furto,12,1,7527,15.1
2025-12,CPA,Regional Norte,Tráfico de Drogas,5,0,10731,10.9
2025-12,CPA,Regional Norte,Lesão Corporal,4,4,0,12.9
2025-12,Pedra 90,Regional Sul,Homicídio,11,10,0,8.5
2025-12,Pedra 90,Regional Sul,Latrocínio,3,3,2138,8.5
2025-12,Pedra 90,Regional Sul,Roubo,60,3,46622,17.2
2025-12,Pedra 90,Regional Sul,Furto,73,4,135223,23.4
2025-12,Pedra 90,Regional Sul,Tráfico de Drogas,30,2,31391,25.7
2025-12,Pedra 90,Regional Sul,Lesão Corporal,22,20,0,24.1
2025-12,Tijucal,Regional Sul,Homicídio,5,4,0,11.6
2025-12,Tijucal,Regional Sul,Latrocínio,2,2,2598,11.7
2025-12,Tijucal,Regional Sul,Roubo,38,2,63407,26.1
2025-12,Tijucal,Regional Sul,Furto,35,2,40087,26.3
2025-12,Tijucal,Regional Sul,Tráfico de Drogas,14,1,28600,13.8
2025-12,Tijucal,Regional Sul,Lesão Corporal,15,14,0,13.0
2025-12,Jardim Leblon,Regional Norte,Homicídio,8,7,0,10.4
2025-12,Jardim Leblon,Regional Norte,Latrocínio,3,3,5060,7.6
2025-12,Jardim Leblon,Regional Norte,Roubo,41,2,55270,12.0
2025-12,Jardim Leblon,Regional Norte,Furto,57,3,65441,13.5
2025-12,Jardim Leblon,Regional Norte,Tráfico de Drogas,22,1,24686,21.9
2025-12,Jardim Leblon,Regional Norte,Lesão Corporal,23,21,0,16.1
2025-12,Porto,Regional Metropolitana,Homicídio,8,7,0,10.2
2025-12,Porto,Regional Metropolitana,Latrocínio,4,4,6866,11.6
2025-12,Porto,Regional Metropolitana,Roubo,52,3,77098,17.8
2025-12,Porto,Regional Metropolitana,Furto,71,4,155045,27.1
2025-12,Porto,Regional Metropolitana,Tráfico de Drogas,25,1,47803,12.4
2025-12,Porto,Regional Metropolitana,Lesão Corporal,22,20,0,15.2
2025-12,Grande Terceiro,Regional Leste,Homicídio,7,6,0,8.0
2025-12,Grande Terceiro,Regional Leste,Latrocínio,2,2,1605,10.1
2025-12,Grande Terceiro,Regional Leste,Roubo,41,2,23360,24.0
2025-12,Grande Terceiro,Regional Leste,Furto,66,3,111937,19.0
2025-12,Grande Terceiro,Regional Leste,Tráfico de Drogas,17,1,29854,16.8
2025-12,Grande Terceiro,Regional Leste,Lesão Corporal,18,16,0,11.6
2026-01,Centro,Regional Metropolitana,Homicídio,4,4,0,7.4
2026-01,Centro,Regional Metropolitana,Latrocínio,2,2,3097,7.6
2026-01,Centro,Regional Metropolitana,Roubo,30,2,16661,23.1
2026-01,Centro,Regional Metropolitana,Furto,38,2,30716,23.6
2026-01,Centro,Regional Metropolitana,Tráfico de Drogas,12,1,25716,21.0
2026-01,Centro,Regional Metropolitana,Lesão Corporal,13,12,0,18.6
2026-01,Coxipó,Regional Leste,Homicídio,6,5,0,11.3
2026-01,Coxipó,Regional Leste,Latrocínio,2,2,2824,11.4
2026-01,Coxipó,Regional Leste,Roubo,26,1,15154,17.5
2026-01,Coxipó,Regional Leste,Furto,49,2,30238,19.6
2026-01,Coxipó,Regional Leste,Tráfico de Drogas,16,1,29035,11.2
2026-01,Coxipó,Regional Leste,Lesão Corporal,15,14,0,20.9
2026-01,CPA,Regional Norte,Homicídio,2,2,0,8.4
2026-01,CPA,Regional Norte,Latrocínio,1,1,1094,6.0
2026-01,CPA,Regional Norte,Roubo,9,0,9290,11.8
2026-01,CPA,Regional Norte,Furto,15,1,27809,15.3
2026-01,CPA,Regional Norte,Tráfico de Drogas,5,0,2503,22.3
2026-01,CPA,Regional Norte,Lesão Corporal,5,4,0,15.9
2026-01,Pedra 90,Regional Sul,Homicídio,12,11,0,6.4
2026-01,Pedra 90,Regional Sul,Latrocínio,4,4,6468,7.9
2026-01,Pedra 90,Regional Sul,Roubo,60,3,86477,27.1
2026-01,Pedra 90,Regional Sul,Furto,74,4,59414,12.0
2026-01,Pedra 90,Regional Sul,Tráfico de Drogas,30,2,47568,15.6
2026-01,Pedra 90,Regional Sul,Lesão Corporal,21,19,0,12.7
2026-01,Tijucal,Regional Sul,Homicídio,5,4,0,10.6
2026-01,Tijucal,Regional Sul,Latrocínio,2,2,3617,10.2
2026-01,Tijucal,Regional Sul,Roubo,30,2,63022,16.2
2026-01,Tijucal,Regional Sul,Furto,39,2,75542,21.3
2026-01,Tijucal,Regional Sul,Tráfico de Drogas,14,1,7758,13.9
2026-01,Tijucal,Regional Sul,Lesão Corporal,11,10,0,17.8
2026-01,Jardim Leblon,Regional Norte,Homicídio,9,8,0,7.5
2026-01,Jardim Leblon,Regional Norte,Latrocínio,3,3,5625,11.6
2026-01,Jardim Leblon,Regional Norte,Roubo,57,3,91060,13.4
2026-01,Jardim Leblon,Regional Norte,Furto,50,2,51835,20.4
2026-01,Jardim Leblon,Regional Norte,Tráfico de Drogas,21,1,14090,10.0
2026-01,Jardim Leblon,Regional Norte,Lesão Corporal,23,21,0,10.3
2026-01,Porto,Regional Metropolitana,Homicídio,8,7,0,11.3
2026-01,Porto,Regional Metropolitana,Latrocínio,4,4,7192,10.9
2026-01,Porto,Regional Metropolitana,Roubo,54,3,106476,11.4
2026-01,Porto,Regional Metropolitana,Furto,55,3,57900,20.1
2026-01,Porto,Regional Metropolitana,Tráfico de Drogas,19,1,27548,12.1
2026-01,Porto,Regional Metropolitana,Lesão Corporal,25,22,0,24.4
2026-01,Grande Terceiro,Regional Leste,Homicídio,9,8,0,9.0
2026-01,Grande Terceiro,Regional Leste,Latrocínio,3,3,5524,8.9
2026-01,Grande Terceiro,Regional Leste,Roubo,48,2,54789,14.7
2026-01,Grande Terceiro,Regional Leste,Furto,46,2,82196,10.5
2026-01,Grande Terceiro,Regional Leste,Tráfico de Drogas,16,1,23700,11.0
2026-01,Grande Terceiro,Regional Leste,Lesão Corporal,18,16,0,13.4
